# px,py,theta,vx,vy,theta_dot
-1.500000000000000000e+00,1.000000014901161194e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.500000000000000000e+00,1.000000014901161194e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.143351762026832280e-03,-7.283686456226166894e-02
-1.500000000000000000e+00,1.000061448418781418e-01,-7.283686456226167187e-05,0.000000000000000000e+00,1.228670352405366456e-02,-1.456737291245233379e-01
-1.500000000000000000e+00,1.000184315454022005e-01,-2.185105936867850021e-04,1.161748117081363850e-06,1.843005524377145168e-02,-2.185105936867849930e-01
-1.499999998838251969e+00,1.000368616006459682e-01,-4.370211873735700041e-04,4.646992443672190468e-06,2.457340662501688103e-02,-2.913474582490466758e-01
-1.499999994191259622e+00,1.000614350072709796e-01,-7.283686456226166374e-04,1.161748093044430204e-05,3.071675686391811197e-02,-3.641843228113083586e-01
-1.499999982573778645e+00,1.000921517641348985e-01,-1.092552968433924956e-03,2.323496108431076301e-05,3.686010439504061598e-02,-4.370211873735700414e-01
-1.499999959338817579e+00,1.001290118685299324e-01,-1.529574155807495069e-03,4.066117938907425609e-05,4.300344663753323526e-02,-5.098580519358316687e-01
-1.499999918677638266e+00,1.001720153151674647e-01,-2.039432207743326758e-03,6.505788035627678033e-05,4.914677974127478616e-02,-5.826949164980933515e-01
-1.499999853619757850e+00,1.002211620949087362e-01,-2.622127124241420242e-03,9.758680511380159292e-05,5.529009833302170329e-02,-6.555317810603550344e-01
-1.499999756032952769e+00,1.002764521932417580e-01,-3.277658905301775519e-03,1.394096894397788737e-04,6.143339526255741506e-02,-7.283686456226167172e-01
-1.499999616623263421e+00,1.003378855885043164e-01,-4.006027550924392590e-03,1.916882611493478318e-04,6.757666134884449116e-02,-8.012055101848784000e-01
-1.499999424935002379e+00,1.004054622498531668e-01,-4.807233061109271455e-03,2.555842367418298053e-04,7.371988512618085632e-02,-8.740423747471400828e-01
-1.499999169350765715e+00,1.004791821349793474e-01,-5.681275435856411246e-03,3.322593172158696791e-04,7.986305259036186044e-02,-9.468792393094017656e-01
-1.499998837091448545e+00,1.005590451875697094e-01,-6.628154675165812831e-03,4.228751829601063404e-04,8.600614694485025913e-02,-1.019716103871663337e+00
-1.499998414216265674e+00,1.006450513345145542e-01,-7.647870779037476210e-03,5.285934876269392062e-04,9.214914834695674128e-02,-1.092552968433925020e+00
-1.499997885622778027e+00,1.007372004828615136e-01,-8.740423747471401383e-03,6.505758508969630488e-04,9.829203365403418879e-02,-1.165389832996186703e+00
-1.499997235046927058e+00,1.008354925165155513e-01,-9.905813580467588350e-03,7.899838500416543228e-04,1.044347761696892418e-01,-1.238226697558448386e+00
-1.499996445063076944e+00,1.009399272926852359e-01,-1.114404027802603711e-02,9.479790101919022792e-04,1.105773453900156106e-01,-1.311063562120710069e+00
-1.499995497084066765e+00,1.010505046380752447e-01,-1.245510384014674767e-02,1.125722793219992302e-03,1.167197067498539909e-01,-1.383900426682971752e+00
-1.499994371361273560e+00,1.011672243448250991e-01,-1.383900426682972001e-02,1.324376585142668632e-03,1.228618213690843425e-01,-1.456737291245233434e+00
-1.499993046984688494e+00,1.012900861661941848e-01,-1.529574155807495416e-02,1.545101681952920462e-03,1.290036457989568452e-01,-1.529574155807495117e+00
-1.499991501883006562e+00,1.014190898119931433e-01,-1.682531571388245009e-02,1.789059273788165712e-03,1.351451317684689291e-01,-1.602411020369756800e+00
-1.499989712823732724e+00,1.015542349437616176e-01,-1.842772673425220609e-02,2.057410427342534157e-03,1.412862259307962609e-01,-1.675247884932018483e+00
-1.499987655413305365e+00,1.016955211696924100e-01,-2.010297461918422388e-02,2.351316066430987877e-03,1.474268696097867926e-01,-1.748084749494280166e+00
-1.499985304097238847e+00,1.018429480393022030e-01,-2.185105936867850346e-02,2.671936950613056777e-03,1.535669985465277498e-01,-1.820921614056541848e+00
-1.499982632160288265e+00,1.019965150378487340e-01,-2.367198098273504484e-02,3.020433651784019003e-03,1.597065426459964854e-01,-1.893758478618803531e+00
-1.499979611726636408e+00,1.021562215804947271e-01,-2.556573946135384801e-02,3.397966528641404617e-03,1.658454257238070606e-01,-1.966595343181065214e+00
-1.499976213760107813e+00,1.023220670062185284e-01,-2.753233480453491297e-02,3.805695698934770735e-03,1.719835652530655457e-01,-2.039432207743326675e+00
-1.499972408064408791e+00,1.024940505714715955e-01,-2.957176701227823973e-02,4.244781009406763117e-03,1.781208721113484716e-01,-2.112269072305588136e+00
-1.499968163283399436e+00,1.026721714435829408e-01,-3.168403608458382481e-02,4.716382003333561591e-03,1.842572503278193385e-01,-2.185105936867849596e+00
-1.499963446901396047e+00,1.028564286939107619e-01,-3.386914202145167169e-02,5.221657885572892135e-03,1.903925968305001104e-01,-2.257942801430111057e+00
-1.499958225243510412e+00,1.030468212907412612e-01,-3.612708482288178036e-02,5.761767485027905096e-03,1.965268011937152670e-01,-2.330779665992372518e+00
-1.499952463476025288e+00,1.032433480919349722e-01,-3.845786448887415082e-02,6.337869214435312704e-03,2.026597453857275910e-01,-2.403616530554633979e+00
-1.499946125606810954e+00,1.034460078373207054e-01,-4.086148101942878308e-02,6.951121027386314780e-03,2.087913035165863129e-01,-2.476453395116895440e+00
-1.499939174485783511e+00,1.036547991408372921e-01,-4.333793441454567713e-02,7.602680372488987252e-03,2.149213415862094578e-01,-2.500000000000000000e+00
-1.499931571805410924e+00,1.038697204824235026e-01,-4.583793441454567935e-02,8.293704144580946874e-03,2.210497172327235693e-01,-2.500000000000000000e+00
-1.499923278101266355e+00,1.040907701996562212e-01,-4.833793441454568157e-02,9.024563279843578201e-03,2.271763155246777910e-01,-2.500000000000000000e+00
-1.499914253537986575e+00,1.043179465151808927e-01,-5.083793441454568379e-02,9.795253210409665678e-03,2.333010368793221601e-01,-2.500000000000000000e+00
-1.499904458284776254e+00,1.045512475520602169e-01,-5.333793441454568601e-02,1.060576911946965219e-02,2.394237817256375522e-01,-2.500000000000000000e+00
-1.499893852515656878e+00,1.047906713337858481e-01,-5.583793441454568823e-02,1.145610594130174603e-02,2.455444505049580450e-01,-2.500000000000000000e+00
-1.499882396409715657e+00,1.050362157842908012e-01,-5.833793441454569045e-02,1.234625836130357618e-02,2.516629436715931423e-01,-2.500000000000000000e+00
-1.499870050151354439e+00,1.052878787279624001e-01,-6.083793441454569267e-02,1.327622081602541568e-02,2.577791616934498320e-01,-2.500000000000000000e+00
-1.499856773930538401e+00,1.055456578896558500e-01,-6.333793441454568796e-02,1.424598749320495072e-02,2.638930050526548388e-01,-2.500000000000000000e+00
-1.499842527943045178e+00,1.058095508947085039e-01,-6.583793441454569018e-02,1.525555233180360577e-02,2.700043742461765151e-01,-2.500000000000000000e+00
-1.499827272390713340e+00,1.060795552689546839e-01,-6.833793441454569240e-02,1.630490902204442469e-02,2.761131697864466772e-01,-2.500000000000000000e+00
-1.499810967481691293e+00,1.063556684387411272e-01,-7.083793441454569462e-02,1.739405100545151142e-02,2.822192922019825523e-01,-2.500000000000000000e+00
-1.499793573430685756e+00,1.066378877309431122e-01,-7.333793441454569684e-02,1.852297147489101459e-02,2.883226420380082811e-01,-2.500000000000000000e+00
-1.499775050459210890e+00,1.069262103729811259e-01,-7.583793441454569906e-02,1.969166337461367156e-02,2.944231198570767538e-01,-2.500000000000000000e+00
-1.499755358795836324e+00,1.072206334928381966e-01,-7.833793441454570128e-02,2.090011940029891727e-02,3.005206262396908357e-01,-2.500000000000000000e+00
-1.499734458676436066e+00,1.075211541190778941e-01,-8.083793441454570350e-02,2.214833199910052480e-02,3.066150617849249249e-01,-2.500000000000000000e+00
-1.499712310344436972e+00,1.078277691808628147e-01,-8.333793441454570572e-02,2.343629336969381416e-02,3.127063271110461229e-01,-2.500000000000000000e+00
-1.499688874051067211e+00,1.081404755079738572e-01,-8.583793441454570794e-02,2.476399546232441184e-02,3.187943228561353481e-01,-2.500000000000000000e+00
-1.499664110055604960e+00,1.084592698308299991e-01,-8.833793441454571016e-02,2.613142997885856134e-02,3.248789496787085063e-01,-2.500000000000000000e+00
-1.499637978625626200e+00,1.087841487805087104e-01,-9.083793441454571238e-02,2.753858837283498437e-02,3.309601082583371046e-01,-2.500000000000000000e+00
-1.499610440037253412e+00,1.091151088887670484e-01,-9.333793441454571460e-02,2.898546184951829655e-02,3.370376992962693108e-01,-2.500000000000000000e+00
-1.499581454575403816e+00,1.094521465880633204e-01,-9.583793441454571682e-02,3.047204136595398419e-02,3.431116235160502903e-01,-2.500000000000000000e+00
-1.499550982534037846e+00,1.097952582115793718e-01,-9.833793441454571904e-02,3.199831763102490428e-02,3.491817816641429317e-01,-2.500000000000000000e+00
-1.499518984216406725e+00,1.101444399932435120e-01,-1.008379344145457213e-01,3.356428110550937344e-02,3.552480745105479065e-01,-2.500000000000000000e+00
