# px,py,theta,vx,vy,theta_dot
-1.500000000000000000e+00,1.000000014901161194e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.500000000000000000e+00,1.000000014901161194e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.940851850128174939e-03,-7.647870779037475863e-02
-1.500000000000000000e+00,1.000069423419662484e-01,-7.647870779037476698e-05,0.000000000000000000e+00,1.388170370025634988e-02,-1.529574155807495173e-01
-1.500000000000000000e+00,1.000208240456665065e-01,-2.294361233711243145e-04,1.280827298966121764e-06,2.082255550140651307e-02,-2.294361233711242898e-01
-1.499999998719172778e+00,1.000416466011679190e-01,-4.588722467422486290e-04,5.123309165898289278e-06,2.776340691073261174e-02,-3.059148311614990345e-01
-1.499999993595863668e+00,1.000694100080786464e-01,-7.647870779037477511e-04,1.280827269749078719e-05,3.470425699765251892e-02,-3.823935389518737793e-01
-1.499999980787591003e+00,1.001041142650763022e-01,-1.147180616855621518e-03,2.561654445104636052e-05,4.164510394998009041e-02,-4.588722467422485241e-01
-1.499999955171046562e+00,1.001457593690262826e-01,-1.606052863597870039e-03,4.482894974027069982e-05,4.858594478005757999e-02,-5.353509545326232688e-01
-1.499999910342096898e+00,1.001943453138063461e-01,-2.141403818130493096e-03,7.172631148157439013e-05,5.552677503088868788e-02,-6.118296623229980691e-01
-1.499999838615785341e+00,1.002498720888372330e-01,-2.753233480453491124e-03,1.075894484785098928e-04,6.246758848227294131e-02,-6.883083701133728693e-01
-1.499999731026336880e+00,1.003123396773195064e-01,-3.441541850566864121e-03,1.536991730319720582e-04,6.940837685694231651e-02,-7.647870779037476696e-01
-1.499999577327163935e+00,1.003817480541764479e-01,-4.206328928470611656e-03,2.113362877637921895e-04,7.634912952670135089e-02,-8.412657856941224699e-01
-1.499999365990876132e+00,1.004580971837031461e-01,-5.047594714164734160e-03,2.817815815413580831e-04,8.328983321857252875e-02,-9.177444934844972702e-01
-1.499999084209294509e+00,1.005413870169217239e-01,-5.965339207649231201e-03,3.663158243908964549e-04,9.023047172094904311e-02,-9.942232012748720704e-01
-1.499998717893470168e+00,1.006316174886426745e-01,-6.959562408924103646e-03,4.662197612870584338e-04,9.717102558975768134e-02,-1.070701909065246760e+00
-1.499998251673708927e+00,1.007287885142324341e-01,-8.030264317989350628e-03,5.827741047064570338e-04,1.041114718546352624e-01,-1.147180616855621560e+00
-1.499997668899604175e+00,1.008328999860870628e-01,-9.177444934844972146e-03,7.172595258328138537e-04,1.110517837251224355e-01,-1.223659324645996360e+00
-1.499996951640078402e+00,1.009439517698121902e-01,-1.040110425949096820e-02,8.709566443013844758e-04,1.179919302968797101e-01,-1.300138032436371160e+00
-1.499996080683434041e+00,1.010619437001090692e-01,-1.170124229192733879e-02,1.045146016370348055e-03,1.249318762579311598e-01,-1.376616740226745961e+00
-1.499995035537417643e+00,1.011868755763670052e-01,-1.307785903215408566e-02,1.241108121406864478e-03,1.318715815949421388e-01,-1.453095448017120761e+00
-1.499993794429296257e+00,1.013187471579619497e-01,-1.453095448017120705e-02,1.460123346575527411e-03,1.388110012995382170e-01,-1.529574155807495561e+00
-1.499992334305949582e+00,1.014575581592614822e-01,-1.606052863597870126e-02,1.703471969616967901e-03,1.457500850746736298e-01,-1.606052863597870362e+00
-1.499990630833979877e+00,1.016033082443361518e-01,-1.766658149957657173e-02,1.972434139604400428e-03,1.526887770410582656e-01,-1.682531571388245162e+00
-1.499988658399840302e+00,1.017559970213772064e-01,-1.934911307096481847e-02,2.268289855565940299e-03,1.596270154436538469e-01,-1.759010279178619962e+00
-1.499986390109984802e+00,1.019156240368208621e-01,-2.110812335014343802e-02,2.592318942860571442e-03,1.665647323582503392e-01,-1.835488986968994762e+00
-1.499983797791041962e+00,1.020821887691791136e-01,-2.294361233711243384e-02,2.945801027195697579e-03,1.735018533981356192e-01,-1.911967694759369563e+00
-1.499980851990014852e+00,1.022556906225772499e-01,-2.485558003187180245e-02,3.330015506174274342e-03,1.804382974208719737e-01,-1.988446402549744363e+00
-1.499977521974508621e+00,1.024361289199981206e-01,-2.684402643442154734e-02,3.746241518259594075e-03,1.873739762351949723e-01,-2.064925110340118941e+00
-1.499973775732990289e+00,1.026235028962333151e-01,-2.890895154476166504e-02,4.195757909045878115e-03,1.943087943080510915e-01,-2.141403818130493519e+00
-1.499969579975081180e+00,1.028178116905413692e-01,-3.105035536289215900e-02,4.679843194722931726e-03,2.012426484717923236e-01,-2.217882525920868098e+00
-1.499964900131886436e+00,1.030190543390131636e-01,-3.326823788881302923e-02,5.199775522623211431e-03,2.081754276315471719e-01,-2.294361233711242676e+00
-1.499959700356363834e+00,1.032272297666447097e-01,-3.556259912252426880e-02,5.756832628739797127e-03,2.151070124727892940e-01,-2.370839941501617254e+00
-1.499953943523735012e+00,1.034423367791175025e-01,-3.793343906402588811e-02,6.352291792103878509e-03,2.220372751691264690e-01,-2.447318649291991832e+00
-1.499947591231942878e+00,1.036643740542866343e-01,-4.038075771331788022e-02,6.987429785910528358e-03,2.289660790903342846e-01,-2.500000000000000000e+00
