# px,py,pz,vx,vy,vz,phi,theta,psi
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000999999999999890e+00,1.000999999999999890e+00,9.989999999999999991e-01,9.833332785826525146e-01,1.009005068013054673e+00,-9.959754376771688955e-01,9.899999999999999911e-01,1.003399054050445605e+00,1.000000000000000000e+00
1.001983333278582577e+00,1.002009005068013048e+00,9.980040245623228445e-01,9.666302782706999164e-01,1.017904452490495437e+00,-9.920095176941510218e-01,9.799999999999999822e-01,1.006798108100891209e+00,1.000000000000000000e+00
1.002949963556853286e+00,1.003026909520503551e+00,9.970120150446286633e-01,9.498911920432135947e-01,1.026697783706061351e+00,-9.881006392251455717e-01,9.699999999999999734e-01,1.010197162151336814e+00,1.000000000000000000e+00
1.003899854748896425e+00,1.004053607304209672e+00,9.960239144054034988e-01,9.331162132961856592e-01,1.035384714591889743e+00,-9.842471993214954029e-01,9.599999999999999645e-01,1.013596216201782418e+00,1.000000000000000000e+00
1.004832970962192595e+00,1.005088992018801530e+00,9.950396672060820569e-01,9.163055358402945050e-01,1.043964920747161296e+00,-9.804475932231754287e-01,9.499999999999999556e-01,1.016995270252228023e+00,1.000000000000000000e+00
1.005749276498032918e+00,1.006132956939548739e+00,9.940592196128589242e-01,8.994593538986656034e-01,1.052438100442521174e+00,-9.767002146702519205e-01,9.399999999999999467e-01,1.020394324302673628e+00,1.000000000000000000e+00
1.006648735851931598e+00,1.007185395039991160e+00,9.930825193981887011e-01,8.825778621046275196e-01,1.060803974620275758e+00,-9.730034562142552135e-01,9.299999999999999378e-01,1.023793378353119232e+00,1.000000000000000000e+00
1.007531313714036258e+00,1.008246199014611433e+00,9.921095159419744958e-01,8.656612554994632669e-01,1.069062286890369640e+00,-9.693557095294088599e-01,9.199999999999999289e-01,1.027192432403564837e+00,1.000000000000000000e+00
1.008396974969535620e+00,1.009315261301501732e+00,9.911401602324451110e-01,8.487097295301568867e-01,1.077212803522143991e+00,-9.657553657236583877e-01,9.099999999999999201e-01,1.030591486454010441e+00,1.000000000000000000e+00
1.009245684699065837e+00,1.010392474105023863e+00,9.901744048667214804e-01,8.317234800471351441e-01,1.085255313431880975e+00,-9.622008156494437081e-01,8.999999999999999112e-01,1.033990540504456046e+00,1.000000000000000000e+00
1.010077408179113068e+00,1.011477729418455818e+00,9.892122040510720193e-01,8.147027033020050046e-01,1.093189628166139515e+00,-9.586904502141567752e-01,8.899999999999999023e-01,1.037389594554901651e+00,1.000000000000000000e+00
1.010892110882415151e+00,1.012570919046621887e+00,9.882535136008578913e-01,7.976475959452861142e-01,1.101015581880886218e+00,-9.552226606902295414e-01,8.799999999999998934e-01,1.040788648605347255e+00,1.000000000000000000e+00
1.011689758478360401e+00,1.013671934628502802e+00,9.872982909401676332e-01,7.805583550241388391e-01,1.108733031316428308e+00,-9.517958390247943656e-01,8.699999999999998845e-01,1.044187702655792860e+00,1.000000000000000000e+00
1.012470316833384620e+00,1.014780667659819224e+00,9.863464951011428061e-01,7.634351779800876425e-01,1.116341855768157032e+00,-9.484083781488609199e-01,8.599999999999998757e-01,1.047586756706238464e+00,1.000000000000000000e+00
1.013233752011364786e+00,1.015897009515587479e+00,9.853980867229938934e-01,7.462782626467399094e-01,1.123841957053105522e+00,-9.450586722859533051e-01,8.499999999999998668e-01,1.050985810756684069e+00,1.000000000000000000e+00
1.013980030274011623e+00,1.017020851472640652e+00,9.844530280507078901e-01,7.290878072475002192e-01,1.131233259472333552e+00,-9.417451172601505327e-01,8.399999999999998579e-01,1.054384864807129674e+00,1.000000000000000000e+00
1.014709118081259076e+00,1.018152084732113050e+00,9.835112829334476947e-01,7.118640103932802887e-01,1.138515709769145401e+00,-9.384661108034751953e-01,8.299999999999998490e-01,1.057783918857575278e+00,1.000000000000000000e+00
1.015420982091652435e+00,1.019290600441882244e+00,9.825728168226441905e-01,6.946070710802042525e-01,1.145689277083152824e+00,-9.352200528625729259e-01,8.199999999999998401e-01,1.061182972908020883e+00,1.000000000000000000e+00
1.016115589162732702e+00,1.020436289718965384e+00,9.816375967697815730e-01,6.773171886873095016e-01,1.152753952900191559e+00,-9.320053459046279132e-01,8.099999999999998312e-01,1.064582026958466487e+00,1.000000000000000000e+00
1.016792906351420056e+00,1.021589043671865538e+00,9.807055914238769212e-01,6.599945629742433040e-01,1.159709750998105138e+00,-9.288203952224585169e-01,7.999999999999998224e-01,1.067981081008912092e+00,1.000000000000000000e+00
1.017452900914394220e+00,1.022748753422863643e+00,9.797767710286544585e-01,6.426393940789545400e-01,1.166556707388406888e+00,-9.256636092387365844e-01,7.899999999999998135e-01,1.071380135059357697e+00,1.000000000000000000e+00
1.018095540308473268e+00,1.023915310130252054e+00,9.788511074194157224e-01,6.252518825153818849e-01,1.173294880253832329e+00,-9.225333998092765109e-01,7.799999999999998046e-01,1.074779189109803301e+00,1.000000000000000000e+00
1.018720792190988655e+00,1.025088605010505916e+00,9.779285740196064225e-01,6.078322291711366621e-01,1.179924349881797729e+00,-9.194281825253373119e-01,7.699999999999997957e-01,1.078178243160248906e+00,1.000000000000000000e+00
1.019328624420159812e+00,1.026268529360387705e+00,9.770091458370810944e-01,5.903806353051821443e-01,1.186445218593777273e+00,-9.163463770148838616e-01,7.599999999999997868e-01,1.081577297210694510e+00,1.000000000000000000e+00
1.019919005055464956e+00,1.027454974578981384e+00,9.760927994600662183e-01,5.728973025455083024e-01,1.192857610670615021e+00,-9.132864072427518964e-01,7.499999999999997780e-01,1.084976351261140115e+00,1.000000000000000000e+00
